block,strategy,ROI
2018-2019,DCA,-0.452654683333251
2018-2019,rho=1,-0.38924508189901763
2018-2019,rho=2,-0.3138287715364785
2018-2019,rho=3,-0.23121779589211133
2018-2019,tanh_rho=1,-0.443433270591221
2018-2019,tanh_rho=2,-0.43495434359521473
2018-2019,"moment_tilted(rho=2,xi=3,lam=0.75)",-0.3081300428658808
2018-2019,"adaptive(W=90,rho_max=2,k=0.5)",-0.4524238543602849
2019-2020,DCA,0.13689558200593271
2019-2020,rho=1,0.34065129059591176
2019-2020,rho=2,0.5379125350735887
2019-2020,rho=3,0.6890074722429179
2019-2020,tanh_rho=1,0.28817407761950686
2019-2020,tanh_rho=2,0.4392848619933481
2019-2020,"moment_tilted(rho=2,xi=3,lam=0.75)",0.6370794934349784
2019-2020,"adaptive(W=90,rho_max=2,k=0.5)",0.22012315283933057
2020-2021,DCA,1.910437474568516
2020-2021,rho=1,2.172443678852977
2020-2021,rho=2,2.4139479178307215
2020-2021,rho=3,2.6529977352403833
2020-2021,tanh_rho=1,2.098871790649635
2020-2021,tanh_rho=2,2.2570050972663718
2020-2021,"moment_tilted(rho=2,xi=3,lam=0.75)",2.556190851276195
2020-2021,"adaptive(W=90,rho_max=2,k=0.5)",1.986297497474043
2021-2022,DCA,0.0215179964972278
2021-2022,rho=1,0.07072579165755086
2021-2022,rho=2,0.12116220004433596
2021-2022,rho=3,0.16991962318202009
2021-2022,tanh_rho=1,0.05805756493250814
2021-2022,tanh_rho=2,0.09516871095098098
2021-2022,"moment_tilted(rho=2,xi=3,lam=0.75)",0.15280290384448383
2021-2022,"adaptive(W=90,rho_max=2,k=0.5)",0.03285349112722795
2022-2023,DCA,-0.33534279584644705
2022-2023,rho=1,-0.26187914828635
2022-2023,rho=2,-0.2033293898348229
2022-2023,rho=3,-0.16132012733860754
2022-2023,tanh_rho=1,-0.3178844196033823
2022-2023,tanh_rho=2,-0.30132207946259254
2022-2023,"moment_tilted(rho=2,xi=3,lam=0.75)",-0.1938629122392978
2022-2023,"adaptive(W=90,rho_max=2,k=0.5)",-0.33534279584644705
