block,strategy,ROI
1973-1978,DCA,0.014386419434331991
1973-1978,rho=1,0.03364026344722553
1973-1978,rho=2,0.05576895261264009
1973-1978,rho=3,0.08081066477839303
1973-1978,tanh_rho=1,0.020996304628285934
1973-1978,tanh_rho=2,0.027849247914384343
1973-1978,"moment_tilted(rho=2,xi=3,lam=0.75)",0.06523682417267626
1973-1978,"adaptive(W=90,rho_max=2,k=0.5)",0.014387333215007765
1978-1983,DCA,0.26280809994929205
1978-1983,rho=1,0.28247206898586646
1978-1983,rho=2,0.30188992263814146
1978-1983,rho=3,0.32078766362957367
1978-1983,tanh_rho=1,0.27551460683454115
1978-1983,tanh_rho=2,0.2880605174828193
1978-1983,"moment_tilted(rho=2,xi=3,lam=0.75)",0.3141424349516844
1978-1983,"adaptive(W=90,rho_max=2,k=0.5)",0.267002701576885
1983-1988,DCA,0.26589549525487155
1983-1988,rho=1,0.32708634958412247
1983-1988,rho=2,0.37888973462302056
1983-1988,rho=3,0.42085756925238416
1983-1988,tanh_rho=1,0.3125258385804659
1983-1988,tanh_rho=2,0.35346397415441155
1983-1988,"moment_tilted(rho=2,xi=3,lam=0.75)",0.40682689201156796
1983-1988,"adaptive(W=90,rho_max=2,k=0.5)",0.29260814897281656
1988-1993,DCA,0.3022008301436723
1988-1993,rho=1,0.336675712631394
1988-1993,rho=2,0.37207530476378403
1988-1993,rho=3,0.4072684802046814
1988-1993,tanh_rho=1,0.32550213792542165
1988-1993,tanh_rho=2,0.34915985812416883
1988-1993,"moment_tilted(rho=2,xi=3,lam=0.75)",0.39506936987575186
1988-1993,"adaptive(W=90,rho_max=2,k=0.5)",0.31203318764576754
1993-1998,DCA,0.7262964367888565
1993-1998,rho=1,0.8212583521297324
1993-1998,rho=2,0.8984782746702551
1993-1998,rho=3,0.9580197031995021
1993-1998,tanh_rho=1,0.7961477533110543
1993-1998,tanh_rho=2,0.8561163212099469
1993-1998,"moment_tilted(rho=2,xi=3,lam=0.75)",0.93861749746972
1993-1998,"adaptive(W=90,rho_max=2,k=0.5)",0.7619731781187443
1998-2003,DCA,-0.2534301113762671
1998-2003,rho=1,-0.23510861986176462
1998-2003,rho=2,-0.21552731081732732
1998-2003,rho=3,-0.195020679015835
1998-2003,tanh_rho=1,-0.2420166720067386
1998-2003,tanh_rho=2,-0.23024500507670706
1998-2003,"moment_tilted(rho=2,xi=3,lam=0.75)",-0.20268375380898915
1998-2003,"adaptive(W=90,rho_max=2,k=0.5)",-0.24976664621521846
2003-2008,DCA,0.2334001600003188
2003-2008,rho=1,0.26333751166695674
2003-2008,rho=2,0.2953345261948581
2003-2008,rho=3,0.3290905151472748
2003-2008,tanh_rho=1,0.2532882375473603
2003-2008,tanh_rho=2,0.2737635706612105
2003-2008,"moment_tilted(rho=2,xi=3,lam=0.75)",0.3168776283598366
2003-2008,"adaptive(W=90,rho_max=2,k=0.5)",0.24169650917948954
2008-2013,DCA,0.2301573030547834
2008-2013,rho=1,0.2686112078390945
2008-2013,rho=2,0.31314674542365944
2008-2013,rho=3,0.3631326921042388
2008-2013,tanh_rho=1,0.24355227060667378
2008-2013,tanh_rho=2,0.257498278580323
2008-2013,"moment_tilted(rho=2,xi=3,lam=0.75)",0.33214537146618034
2008-2013,"adaptive(W=90,rho_max=2,k=0.5)",0.2301573030547834
2013-2018,DCA,0.33830355635403714
2013-2018,rho=1,0.3643537779831633
2013-2018,rho=2,0.39134668533037237
2013-2018,rho=3,0.41901169552966816
2013-2018,tanh_rho=1,0.356452665002513
2013-2018,tanh_rho=2,0.37485268310980996
2013-2018,"moment_tilted(rho=2,xi=3,lam=0.75)",0.40935722275845976
2013-2018,"adaptive(W=90,rho_max=2,k=0.5)",0.34668069895867737
2018-2023,DCA,0.15435427569632684
2018-2023,rho=1,0.1946630034989276
2018-2023,rho=2,0.23208216673401694
2018-2023,rho=3,0.26542270053035544
2018-2023,tanh_rho=1,0.18176051083879263
2018-2023,tanh_rho=2,0.2077957579502479
2018-2023,"moment_tilted(rho=2,xi=3,lam=0.75)",0.25411111471966347
2018-2023,"adaptive(W=90,rho_max=2,k=0.5)",0.16597012861987528
2023-2024,DCA,0.11668801006253011
2023-2024,rho=1,0.11990864256462007
2023-2024,rho=2,0.12312951072577352
2023-2024,rho=3,0.12634214544049618
2023-2024,tanh_rho=1,0.11866421088556392
2023-2024,tanh_rho=2,0.12063833918009748
2023-2024,"moment_tilted(rho=2,xi=3,lam=0.75)",0.12518476113011565
2023-2024,"adaptive(W=90,rho_max=2,k=0.5)",0.11713166481576691
